YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.OriginalHBaseClient -P /home/hadoop/git/schema_design/YCSB_PhoenixClient/workloads/fat_table_workload -p columnfamily=cf -p readproportion=0.0 -p insertproportion=1.0 -load -threads 20 -s
Loading workload...
initializing original coreworkload...
initializing fat table workload...
Starting test.
 0 sec: 0 operations; 
 10 sec: 0 operations; 
 20 sec: 0 operations; 
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/hadoop/git/schema_design/lib/phoenix-4.1.0-client.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/hadoop/git/schema_design/YCSB_PhoenixClient/hbase/target/hbase-binding-0.1.4.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:host.name=yahoo024.nicl.cs.duke.edu
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:java.version=1.7.0_65
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:java.vendor=Oracle Corporation
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:java.class.path=../lib/phoenix-4.1.0-client.jar:core/target/core-0.1.4.jar:hbase/target/hbase-binding-0.1.4.jar:distribution/target/ycsb-0.1.4.tar.gz:jdbc/target/jdbc-binding-0.1.4.jar:hbase/src/main/conf/
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:java.io.tmpdir=/tmp
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:java.compiler=<NA>
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:os.name=Linux
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:os.arch=amd64
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:os.version=3.13.0-34-generic
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:user.name=hadoop
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:user.home=/home/hadoop
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Client environment:user.dir=/home/hadoop/git/schema_design/YCSB_PhoenixClient
14/10/12 00:25:15 INFO zookeeper.ZooKeeper: Initiating client connection, connectString=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181 sessionTimeout=90000 watcher=hconnection-0x482ee6c8, quorum=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181, baseZNode=/hbase
14/10/12 00:25:15 INFO zookeeper.RecoverableZooKeeper: Process identifier=hconnection-0x482ee6c8 connecting to ZooKeeper ensemble=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181
14/10/12 00:25:15 INFO zookeeper.ClientCnxn: Opening socket connection to server master/152.3.144.175:2181. Will not attempt to authenticate using SASL (unknown error)
14/10/12 00:25:15 INFO zookeeper.ClientCnxn: Socket connection established to master/152.3.144.175:2181, initiating session
14/10/12 00:25:16 INFO zookeeper.ClientCnxn: Session establishment complete on server master/152.3.144.175:2181, sessionid = 0x49028fe7980007, negotiated timeout = 90000
 30 sec: 11 operations; 1.1 current ops/sec; [INSERT AverageLatency(us)=24336518.91] 
 40 sec: 255 operations; 24.4 current ops/sec; [INSERT AverageLatency(us)=2154631.31] 
 50 sec: 498 operations; 24.3 current ops/sec; [INSERT AverageLatency(us)=806956.01] 
 60 sec: 739 operations; 24.1 current ops/sec; [INSERT AverageLatency(us)=828893.48] 
 70 sec: 957 operations; 21.8 current ops/sec; [INSERT AverageLatency(us)=923930.21] 
 80 sec: 1191 operations; 23.4 current ops/sec; [INSERT AverageLatency(us)=847997.31] 
 90 sec: 1454 operations; 26.3 current ops/sec; [INSERT AverageLatency(us)=767265.12] 
 100 sec: 1704 operations; 25 current ops/sec; [INSERT AverageLatency(us)=804322.13] 
 110 sec: 1939 operations; 23.5 current ops/sec; [INSERT AverageLatency(us)=857111.32] 
 120 sec: 2184 operations; 24.5 current ops/sec; [INSERT AverageLatency(us)=804101.36] 
 130 sec: 2426 operations; 24.2 current ops/sec; [INSERT AverageLatency(us)=820554.86] 
 140 sec: 2668 operations; 24.2 current ops/sec; [INSERT AverageLatency(us)=833534.98] 
 150 sec: 2922 operations; 25.4 current ops/sec; [INSERT AverageLatency(us)=786068.4] 
 160 sec: 3157 operations; 23.5 current ops/sec; [INSERT AverageLatency(us)=846441.57] 
 170 sec: 3414 operations; 25.7 current ops/sec; [INSERT AverageLatency(us)=787436.3] 
 180 sec: 3671 operations; 25.7 current ops/sec; [INSERT AverageLatency(us)=784935.18] 
 190 sec: 3916 operations; 24.5 current ops/sec; [INSERT AverageLatency(us)=810677.07] 
 200 sec: 4158 operations; 24.2 current ops/sec; [INSERT AverageLatency(us)=827599.34] 
 210 sec: 4405 operations; 24.7 current ops/sec; [INSERT AverageLatency(us)=793555.82] 
 220 sec: 4657 operations; 25.2 current ops/sec; [INSERT AverageLatency(us)=801689] 
 230 sec: 4907 operations; 25 current ops/sec; [INSERT AverageLatency(us)=804072.22] 
 240 sec: 5162 operations; 25.5 current ops/sec; [INSERT AverageLatency(us)=786931.71] 
 250 sec: 5417 operations; 25.5 current ops/sec; [INSERT AverageLatency(us)=781217.44] 
 260 sec: 5674 operations; 25.7 current ops/sec; [INSERT AverageLatency(us)=781825.68] 
 270 sec: 5910 operations; 23.6 current ops/sec; [INSERT AverageLatency(us)=853568.35] 
 280 sec: 6167 operations; 25.7 current ops/sec; [INSERT AverageLatency(us)=765581.79] 
 290 sec: 6414 operations; 24.7 current ops/sec; [INSERT AverageLatency(us)=814445.85] 
 300 sec: 6655 operations; 24.1 current ops/sec; [INSERT AverageLatency(us)=825709.01] 
 310 sec: 6912 operations; 25.7 current ops/sec; [INSERT AverageLatency(us)=778548.65] 
 320 sec: 7161 operations; 24.9 current ops/sec; [INSERT AverageLatency(us)=781401.04] 
 330 sec: 7419 operations; 25.8 current ops/sec; [INSERT AverageLatency(us)=796439.5] 
 340 sec: 7675 operations; 25.6 current ops/sec; [INSERT AverageLatency(us)=788156.63] 
 350 sec: 7907 operations; 23.2 current ops/sec; [INSERT AverageLatency(us)=862774.11] 
 360 sec: 8154 operations; 24.7 current ops/sec; [INSERT AverageLatency(us)=791048.45] 
 370 sec: 8413 operations; 25.9 current ops/sec; [INSERT AverageLatency(us)=783687.25] 
 380 sec: 8660 operations; 24.7 current ops/sec; [INSERT AverageLatency(us)=806883.57] 
 390 sec: 8900 operations; 24 current ops/sec; [INSERT AverageLatency(us)=838962.38] 
 400 sec: 9157 operations; 25.7 current ops/sec; [INSERT AverageLatency(us)=763558.61] 
 410 sec: 9416 operations; 25.9 current ops/sec; [INSERT AverageLatency(us)=783322.9] 
