YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.OriginalHBaseClient -P /home/hadoop/git/schema_design/YCSB_PhoenixClient/workloads/thin_table_workload -p columnfamily=cf -p readproportion=0.0 -p insertproportion=1.0 -load -threads 20 -s
Loading workload...
initializing original coreworkload...
initializing fat table workload...
Starting test.
 0 sec: 0 operations; 
 10 sec: 0 operations; 
 20 sec: 0 operations; 
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/hadoop/git/schema_design/lib/phoenix-4.1.0-client.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/hadoop/git/schema_design/YCSB_PhoenixClient/hbase/target/hbase-binding-0.1.4.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:host.name=yahoo024.nicl.cs.duke.edu
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:java.version=1.7.0_65
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:java.vendor=Oracle Corporation
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:java.class.path=../lib/phoenix-4.1.0-client.jar:core/target/core-0.1.4.jar:hbase/target/hbase-binding-0.1.4.jar:distribution/target/ycsb-0.1.4.tar.gz:jdbc/target/jdbc-binding-0.1.4.jar:hbase/src/main/conf/
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:java.io.tmpdir=/tmp
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:java.compiler=<NA>
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:os.name=Linux
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:os.arch=amd64
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:os.version=3.13.0-34-generic
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:user.name=hadoop
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:user.home=/home/hadoop
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Client environment:user.dir=/home/hadoop/git/schema_design/YCSB_PhoenixClient
14/10/12 00:42:20 INFO zookeeper.ZooKeeper: Initiating client connection, connectString=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181 sessionTimeout=90000 watcher=hconnection-0x2969ae7c, quorum=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181, baseZNode=/hbase
14/10/12 00:42:20 INFO zookeeper.RecoverableZooKeeper: Process identifier=hconnection-0x2969ae7c connecting to ZooKeeper ensemble=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181
14/10/12 00:42:20 INFO zookeeper.ClientCnxn: Opening socket connection to server slave3/152.3.144.178:2181. Will not attempt to authenticate using SASL (unknown error)
14/10/12 00:42:20 INFO zookeeper.ClientCnxn: Socket connection established to slave3/152.3.144.178:2181, initiating session
14/10/12 00:42:20 INFO zookeeper.ClientCnxn: Session establishment complete on server slave3/152.3.144.178:2181, sessionid = 0x349029fb393000a, negotiated timeout = 90000
 30 sec: 31 operations; 3.1 current ops/sec; [INSERT AverageLatency(us)=19093349.03] 
 40 sec: 272 operations; 24.1 current ops/sec; [INSERT AverageLatency(us)=814997.78] 
 50 sec: 495 operations; 22.3 current ops/sec; [INSERT AverageLatency(us)=914510.3] 
 60 sec: 728 operations; 23.3 current ops/sec; [INSERT AverageLatency(us)=844396.91] 
 70 sec: 983 operations; 25.5 current ops/sec; [INSERT AverageLatency(us)=797044.13] 
 80 sec: 1236 operations; 25.3 current ops/sec; [INSERT AverageLatency(us)=787144.56] 
 90 sec: 1488 operations; 25.2 current ops/sec; [INSERT AverageLatency(us)=798255.19] 
 100 sec: 1695 operations; 20.7 current ops/sec; [INSERT AverageLatency(us)=954892.77] 
 110 sec: 1930 operations; 23.5 current ops/sec; [INSERT AverageLatency(us)=849505.91] 
 120 sec: 2177 operations; 24.7 current ops/sec; [INSERT AverageLatency(us)=809794.04] 
 130 sec: 2409 operations; 23.2 current ops/sec; [INSERT AverageLatency(us)=846977.35] 
 140 sec: 2657 operations; 24.8 current ops/sec; [INSERT AverageLatency(us)=832364.17] 
 150 sec: 2904 operations; 24.7 current ops/sec; [INSERT AverageLatency(us)=806259.69] 
 160 sec: 3160 operations; 25.6 current ops/sec; [INSERT AverageLatency(us)=774794.22] 
 170 sec: 3404 operations; 24.4 current ops/sec; [INSERT AverageLatency(us)=828225.55] 
 180 sec: 3641 operations; 23.7 current ops/sec; [INSERT AverageLatency(us)=841745.55] 
 190 sec: 3891 operations; 25 current ops/sec; [INSERT AverageLatency(us)=803735.42] 
 200 sec: 4133 operations; 24.2 current ops/sec; [INSERT AverageLatency(us)=816124.14] 
 210 sec: 4385 operations; 25.2 current ops/sec; [INSERT AverageLatency(us)=786519.3] 
 220 sec: 4636 operations; 25.1 current ops/sec; [INSERT AverageLatency(us)=789981.54] 
 230 sec: 4875 operations; 23.9 current ops/sec; [INSERT AverageLatency(us)=857340.36] 
 240 sec: 5128 operations; 25.3 current ops/sec; [INSERT AverageLatency(us)=785749.72] 
 250 sec: 5373 operations; 24.5 current ops/sec; [INSERT AverageLatency(us)=822469.16] 
 260 sec: 5636 operations; 26.3 current ops/sec; [INSERT AverageLatency(us)=758294.27] 
 270 sec: 5886 operations; 25 current ops/sec; [INSERT AverageLatency(us)=804358.1] 
 280 sec: 6120 operations; 23.4 current ops/sec; [INSERT AverageLatency(us)=857273.53] 
 290 sec: 6361 operations; 24.1 current ops/sec; [INSERT AverageLatency(us)=831832.06] 
 300 sec: 6617 operations; 25.6 current ops/sec; [INSERT AverageLatency(us)=769602.09] 
 310 sec: 6873 operations; 25.6 current ops/sec; [INSERT AverageLatency(us)=783682.01] 
 320 sec: 7123 operations; 25 current ops/sec; [INSERT AverageLatency(us)=798379.51] 
 330 sec: 7394 operations; 27.1 current ops/sec; [INSERT AverageLatency(us)=742209.62] 
 340 sec: 7643 operations; 24.9 current ops/sec; [INSERT AverageLatency(us)=802493.6] 
 350 sec: 7892 operations; 24.9 current ops/sec; [INSERT AverageLatency(us)=806639.71] 
 360 sec: 8153 operations; 26.1 current ops/sec; [INSERT AverageLatency(us)=762124.94] 
 370 sec: 8413 operations; 26 current ops/sec; [INSERT AverageLatency(us)=776205.77] 
 380 sec: 8655 operations; 24.2 current ops/sec; [INSERT AverageLatency(us)=800680.29] 
 390 sec: 8905 operations; 25 current ops/sec; [INSERT AverageLatency(us)=811007.67] 
 400 sec: 9157 operations; 25.2 current ops/sec; [INSERT AverageLatency(us)=793511.58] 
 410 sec: 9404 operations; 24.7 current ops/sec; [INSERT AverageLatency(us)=803969.7] 
