YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.OriginalHBaseClient -P /home/hadoop/git/schema_design/YCSB_PhoenixClient/workloads/fat_table_workload -p columnfamily=cf -p readproportion=0.1 -p insertproportion=0.9 -t -threads 20 -s
Loading workload...
initializing original coreworkload...
initializing fat table workload...
Starting test.
 0 sec: 0 operations; 
 10 sec: 0 operations; 
 20 sec: 0 operations; 
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/hadoop/git/schema_design/lib/phoenix-4.1.0-client.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/hadoop/git/schema_design/YCSB_PhoenixClient/hbase/target/hbase-binding-0.1.4.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:host.name=yahoo024.nicl.cs.duke.edu
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:java.version=1.6.0_32
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:java.vendor=Sun Microsystems Inc.
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:java.home=/usr/lib/jvm/java-6-openjdk-amd64/jre
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:java.class.path=../lib/phoenix-4.1.0-client.jar:core/target/core-0.1.4.jar:hbase/target/hbase-binding-0.1.4.jar:distribution/target/ycsb-0.1.4.tar.gz:jdbc/target/jdbc-binding-0.1.4.jar:hbase/src/main/conf/
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:java.library.path=/usr/lib/jvm/java-6-openjdk-amd64/jre/lib/amd64/server:/usr/lib/jvm/java-6-openjdk-amd64/jre/lib/amd64:/usr/lib/jvm/java-6-openjdk-amd64/jre/../lib/amd64:/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:java.io.tmpdir=/tmp
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:java.compiler=<NA>
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:os.name=Linux
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:os.arch=amd64
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:os.version=3.13.0-34-generic
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:user.name=hadoop
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:user.home=/home/hadoop
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Client environment:user.dir=/home/hadoop/git/schema_design/YCSB_PhoenixClient
14/09/20 01:41:54 INFO zookeeper.ZooKeeper: Initiating client connection, connectString=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181 sessionTimeout=90000 watcher=hconnection-0x852730b, quorum=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181, baseZNode=/hbase
14/09/20 01:41:54 INFO zookeeper.RecoverableZooKeeper: Process identifier=hconnection-0x852730b connecting to ZooKeeper ensemble=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181
14/09/20 01:41:54 INFO zookeeper.ClientCnxn: Opening socket connection to server slave1/152.3.144.176:2181. Will not attempt to authenticate using SASL (unknown error)
14/09/20 01:41:54 INFO zookeeper.ClientCnxn: Socket connection established to slave1/152.3.144.176:2181, initiating session
14/09/20 01:41:54 INFO zookeeper.ClientCnxn: Session establishment complete on server slave1/152.3.144.176:2181, sessionid = 0x148918f6f320007, negotiated timeout = 90000
 30 sec: 215651 operations; 21565.1 current ops/sec; [INSERT AverageLatency(us)=2027.29] [READ AverageLatency(us)=8870.93] 
 40 sec: 452512 operations; 23681.36 current ops/sec; [INSERT AverageLatency(us)=25.53] [READ AverageLatency(us)=7535.87] 
 50 sec: 691357 operations; 23884.5 current ops/sec; [INSERT AverageLatency(us)=24.27] [READ AverageLatency(us)=7769.8] 
 60 sec: 931533 operations; 24015.2 current ops/sec; [INSERT AverageLatency(us)=20.36] [READ AverageLatency(us)=5126.3] 
 70 sec: 940005 operations; 847.2 current ops/sec; [INSERT AverageLatency(us)=7170.62] [READ AverageLatency(us)=61128.78] 
 80 sec: 1140622 operations; 20061.7 current ops/sec; [INSERT AverageLatency(us)=953.12] [READ AverageLatency(us)=8517.25] 
 90 sec: 1362788 operations; 22214.38 current ops/sec; [INSERT AverageLatency(us)=163.19] [READ AverageLatency(us)=5700.6] 
 100 sec: 1459615 operations; 9682.7 current ops/sec; [INSERT AverageLatency(us)=312.62] [READ AverageLatency(us)=10563.04] 
 110 sec: 1562775 operations; 10314.97 current ops/sec; [INSERT AverageLatency(us)=1897.33] [READ AverageLatency(us)=8933.31] 
 120 sec: 1657518 operations; 9473.35 current ops/sec; [INSERT AverageLatency(us)=335.17] [READ AverageLatency(us)=6126.56] 
 130 sec: 1657518 operations; 0 current ops/sec;   
 140 sec: 1657518 operations; 0 current ops/sec;   
 150 sec: 1883729 operations; 22618.84 current ops/sec; [INSERT AverageLatency(us)=24.84] [READ AverageLatency(us)=31450.72] 
 160 sec: 2151092 operations; 26736.3 current ops/sec; [INSERT AverageLatency(us)=173.1] [READ AverageLatency(us)=4595.09] 
 170 sec: 2218251 operations; 6715.23 current ops/sec; [INSERT AverageLatency(us)=505.97] [READ AverageLatency(us)=27650.13] 
 180 sec: 2363087 operations; 14483.6 current ops/sec; [INSERT AverageLatency(us)=22.32] [READ AverageLatency(us)=11182.64] 
 190 sec: 2460212 operations; 9678.62 current ops/sec; [INSERT AverageLatency(us)=198.25] [READ AverageLatency(us)=19058.8] 
 200 sec: 2553220 operations; 9299.87 current ops/sec; [INSERT AverageLatency(us)=737.96] [READ AverageLatency(us)=13244.72] 
 210 sec: 2749290 operations; 19607 current ops/sec; [INSERT AverageLatency(us)=67.79] [READ AverageLatency(us)=9355.97] 
 220 sec: 2856531 operations; 10723.03 current ops/sec; [INSERT AverageLatency(us)=276.7] [READ AverageLatency(us)=16662.86] 
 230 sec: 3011592 operations; 15506.1 current ops/sec; [INSERT AverageLatency(us)=34.35] [READ AverageLatency(us)=11712.18] 
 240 sec: 3116980 operations; 10538.8 current ops/sec; [INSERT AverageLatency(us)=651.7] [READ AverageLatency(us)=13785.79] 
 250 sec: 3323896 operations; 20689.53 current ops/sec; [INSERT AverageLatency(us)=21.35] [READ AverageLatency(us)=8847.48] 
 260 sec: 3449975 operations; 12607.9 current ops/sec; [INSERT AverageLatency(us)=411.13] [READ AverageLatency(us)=7382.29] 
 270 sec: 3496863 operations; 4688.33 current ops/sec; [INSERT AverageLatency(us)=2483.32] [READ AverageLatency(us)=31968.99] 
 280 sec: 3627988 operations; 13081.11 current ops/sec; [INSERT AverageLatency(us)=27.57] [READ AverageLatency(us)=14724.04] 
 290 sec: 3776255 operations; 14825.22 current ops/sec; [INSERT AverageLatency(us)=22.25] [READ AverageLatency(us)=12376.29] 
 300 sec: 4008862 operations; 23198.07 current ops/sec; [INSERT AverageLatency(us)=132.82] [READ AverageLatency(us)=6789.46] 
 310 sec: 4084404 operations; 7553.44 current ops/sec; [INSERT AverageLatency(us)=1203.86] [READ AverageLatency(us)=6772.9] 
 320 sec: 4157258 operations; 7285.4 current ops/sec; [INSERT AverageLatency(us)=1407.14] [READ AverageLatency(us)=22370.79] 
 330 sec: 4321389 operations; 16282.84 current ops/sec; [INSERT AverageLatency(us)=45.23] [READ AverageLatency(us)=10556.87] 
 340 sec: 4374262 operations; 5286.77 current ops/sec; [INSERT AverageLatency(us)=1189.37] [READ AverageLatency(us)=27189.56] 
 350 sec: 4584749 operations; 21036.08 current ops/sec; [INSERT AverageLatency(us)=41.53] [READ AverageLatency(us)=9571.42] 
