151,close,bol,sly ,saut,dogge,ruthless,permane,ca,for,close sl
152,ruthle,daring,pearls ,grou,thin ,quick,dugout,close,quic,bold pai
153,darin,quick,dogged,pin,close f,braids,boldly r,blithe ,ste,dogg
154,plate,dogged p,quickly ,fluff,blit,sly d,sly,dolp,dogged ,per
155,patt,braids a,blithe ,idl,excuse,caref,bli,blith,esc,dep
156,slow,even,ruthl,boldly r,idle d,final,blith,court,ruthl,braids n
157,dogged,asympt,sl,bli,flu,idl,neve,perm,somet,ruthless
158,ruthless,realms c,thi,close,brav,perman,qui,busy ,furious,perma
159,regul,even rut,bold t,quietly ,bold som,perman,bold slo,sau,ironica,saute
160,re,ide,daring s,idle,bold ,sly ,ru,boldl,platel,ruthles
161,epitaph,dar,fluff,fre,blith,careful,ruth,quiet ,bold ,ca
162,dec,id,silent,sile,courts,final,idly ,sl,brave fr,dogg
163,slow,alwa,perm,dogged,sentimen,fra,busily,blithe ,evenly d,blit
164,ent,Tiresias,fina,braids ,blithe d,car,bo,thin,multipl,frays
165,slyly,sil,sheaves ,bo,regu,pa,thin sh,theodo,idle ,stea
166,alw,ironi,thi,clo,iron,pint,stealt,close ,thin ,slow re
167,multip,sile,furious ,bold,brav,blit,close w,ent,thin,ruthless
168,permanen,attain,court,so,fluffy,brave ,sly asym,careful,sauter,brave w
169,waters ,blithe,braids c,escap,idly bo,daringly,blithe ,qui,idle t,slo
170,braids,ironic ,sly,busy bra,sl,ste,furious,dari,sheaves,foxe
171,quietly ,quick d,ironic ,realms,regular,slow,sly,Tiresias,slow id,busy f
172,final,quietl,dept,ruthl,qui,clo,ruthless,silen,ru,furio
173,busy r,furi,blithel,slyl,quic,dogged c,enticing,silen,ruthles,regular 
174,ru,blith,id,fra,daringl,ho,clos,sl,quie,sly cou
175,slyl,quietly ,caref,dogge,dogged ,brave d,brave ,entici,epitaph,platel
176,busi,busy wa,quick,qu,slow,furious ,quie,decoy,ironic,sile
177,fur,fluffy ,ruthles,silent,even do,dinos,thi,brav,patt,quietl
